date,filter,number,duration,gain,iso,binning,sensorCooling,fNumber,darks,flats,flatDarks,bias,bortle,meanSqm,meanFwhm,temperature
2024-11-15,4418,7,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,16
2024-11-16,4418,7,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,16
2024-11-24,4418,6,900,121,0,1,-5,3.8,0,0,0,0,0,0,0,14
2024-11-29,4418,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,10
2024-11-30,4418,2,900,121,0,1,-5,3.8,0,0,0,0,0,0,0,9
2024-12-01,4418,1,900,121,0,1,-5,3.8,0,0,0,0,0,0,0,8
2024-12-03,4418,4,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,9
2024-12-04,4418,3,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,9
2024-12-12,4418,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,8
2024-12-13,4418,6,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,6
2024-12-20,4418,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,14
2024-12-21,4418,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,11
2024-12-22,4418,5,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,7
2024-12-23,4418,4,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,7
2024-12-29,4418,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,15
2024-12-30,4418,11,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,13
2024-11-21,4413,7,900,121,0,1,-5,3.8,0,0,0,0,0,0,0,13
2024-11-22,4413,6,900,121,0,1,-8,3.8,0,0,0,0,0,0,0,11
2024-11-24,4413,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,11
2024-12-02,4413,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,11
2024-12-03,4413,4,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,10
2024-12-11,4413,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,9
2024-12-12,4413,3,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,7
2024-12-19,4413,3,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,17
2024-12-20,4413,4,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,11
2024-12-23,4413,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,14
2024-12-24,4413,3,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,12
2024-12-31,4413,12,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,18
2025-01-06,4413,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,3
2025-01-07,4413,7,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,2
2025-01-08,4413,8,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,5
2024-11-16,4408,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,22
2024-11-17,4408,7,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,21
2024-11-22,4408,1,900,121,0,1,-7,3.8,0,0,0,0,0,0,0,12
2024-11-23,4408,7,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,11
2024-12-01,4408,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,11
2024-12-02,4408,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,10
2024-12-04,4408,3,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,7
2024-12-12,4408,3,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,6
2024-12-14,4408,6,900,121,0,1,-10,3.8,0,0,0,0,0,0,0,15
2024-12-24,4408,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,12
2024-12-31,4408,1,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,17
2025-01-01,4408,9,900,121,0,1,-14,3.8,0,0,0,0,0,0,0,15
2025-01-07,4408,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,2
2025-01-08,4408,2,900,121,0,1,-15,3.8,0,0,0,0,0,0,0,4
