id,brand,name
25,Antlia,3nm Narrowband Oxygen III
30,Antlia,3nm Narrowband H-alpha
35,Antlia,3nm Narrowband Sulfur II
40,Antlia,3.5nm Narrowband Oxygen III
46,Antlia,3.5nm Narrowband H-alpha
48,Antlia,3.5nm Narrowband Sulfur II
52,Antlia,ALP-T Dual Band 5nm
75,Antlia,685nm IR Pass
76,Antlia,850nm IR Pass
77,Antlia,393.3nm CaK 3nm
1453,Altair,Dual-Band
1454,Altair / Skytech,L-pro max
1455,Altair,CLS-CCD
1456,Altair,TriBand
1457,Altair,QuadBand
2622,Altair,"Ha 7nm 2"""
2637,Altair,540/8nm solar contrast booster
3136,Altair,UV/IR cut (in-built)
3730,Altair,"OIII 6.5nm 2"""
3796,Altair,"SII 6.5nm 2"""
5677,Antlia,ALP-T Dual Band 5nm Highspeed
5974,Altair,"NUV 7nm 1.25"""
6898,Altair,"H-alpha 3nm 2"""
6899,Altair,"SII 3nm 2"""
6900,Altair,"OIII 3nm 2"""
6901,Altair,"Ha+OIII ULTRA DualBand 4nm CERTIFIED CMOS 2"""
8977,Altair,"Luminance UV/IR Block Filter with AR Coating 2"""
9868,Altair,Hydrogen Alpha D-ERF
11980,Antlia,"ALP-T Dualband 5nm SII&Hb 2"""
13400,Altair,"SII+OIII ULTRA DualBand 4nm CERTIFIED CMOS 2"""
13465,Altair,Triband D-ERF 115mm
13795,Altair,"G-Band Solar Contrast Filter (430.3nm) 2nm 1.25"""
14686,Altair,"Premium CCD Filter Red 1.25"""
14687,Altair,"Premium CCD Filter Green 1.25"""
14688,Altair,"Premium CCD Filter Blue 1.25"""
14884,Altair,"Premium CCD Filter Luminance 1.25"""
15313,Andover Corporation,Filter 659.1nm 50 mm
17657,Antlia,"ALP-T Dual Band 5nm SII&H-beta Filter 2"""
23070,Antlia,"3nm Narrowband H-alpha Pro Highspeed 2"""
23071,Antlia,"3nm Narrowband Oxygen III Pro Highspeed 2"""
23167,Antila,H-alpha 3nm 50 mm
23168,Antila,SII 3nm 50 mm
23169,Antila,OIII 3nm 50 mm
23332,Altair,"Ha+OIII ULTRA DualBand 6nm CERTIFIED CMOS 2"""
23431,Altair,"SII+OIII ULTRA DualBand 6nm CERTIFIED CMOS 2"""
25411,Altair,"SII+OIII ULTRA DualBand 6nm CERTIFIED CMOS 1.25"""
25774,Altair,"TRI RGB Light Pollution Filter 2"""
26995,Antlia,"ALP-T Dualband 3nm Ha & OIII 2"""
30196,Antila,"ATLP-T Dualband 3.5nm Narrowband filter 2"" (SII &Hb)"
34057,Altair,"Ha+OIII ULTRA DualBand 6nm CERTIFIED CMOS 1.25"""
